Features,NBAcc,NNAcc
"['ReviewLength', 'NumKeyWords', 'UserAvgVotePerReview', 'BusinessReviewCount']",50.82423557,57.56165456
"['NumKeyWords', 'UserAvgVotePerReview', 'BusinessReviewCount', 'NumCheckins']",52.35091993,57.23543995
"['StarRating', 'ReviewLength', 'NumKeyWords', 'UserAvgVotePerReview']",50.83510939,57.20716802
"['NumKeyWords', 'UserAvgVotePerReview', 'BusinessReviewCount', 'BusinessOpen']",51.17219782,57.09625506
"['StarRating', 'ReviewLength', 'UserAvgVotePerReview', 'BusinessReviewCount']",51.96381193,57.05928407
"['ReviewLength', 'NumKeyWords', 'UserAvgVotePerReview', 'BusinessOpen']",50.31534079,57.0027402
"['NumKeyWords', 'UserAvgVotePerReview', 'BusinessOpen', 'NumCheckins']",51.75285981,56.93967205
"['ReviewLength', 'UserAvgVotePerReview', 'BusinessReviewCount', 'BusinessOpen']",50.78943935,56.93749728
"['StarRating', 'NumKeyWords', 'UserAvgVotePerReview', 'BusinessOpen']",51.35052847,56.84180766
"['ReviewLength', 'NumKeyWords', 'UserAvgVotePerReview', 'NumCheckins']",52.85981471,56.67435083
"['ReviewLength', 'UserAvgVotePerReview', 'BusinessReviewCount', 'NumCheckins']",53.66012788,56.61998173
"['StarRating', 'NumKeyWords', 'UserAvgVotePerReview', 'NumCheckins']",54.43434387,56.54821452
"['StarRating', 'ReviewLength', 'UserAvgVotePerReview', 'BusinessOpen']",48.33848027,55.88708625
"['StarRating', 'UserAvgVotePerReview', 'BusinessReviewCount', 'BusinessOpen']",53.66012788,55.48258014
"['StarRating', 'ReviewLength', 'UserAvgVotePerReview', 'NumCheckins']",54.09073116,55.30859902
"['ReviewLength', 'UserAvgVotePerReview', 'BusinessOpen', 'NumCheckins']",52.8424166,54.8497238
"['StarRating', 'NumKeyWords', 'UserAvgVotePerReview', 'BusinessReviewCount']",53.39915619,54.46044104
"['StarRating', 'ReviewLength', 'NumKeyWords', 'BusinessReviewCount']",45.62872428,51.73981123
"['StarRating', 'ReviewLength', 'NumKeyWords', 'BusinessOpen']",45.83532687,51.68544213
"['StarRating', 'ReviewLength', 'BusinessReviewCount', 'BusinessOpen']",46.87703884,51.55930582
"['ReviewLength', 'NumKeyWords', 'BusinessOpen', 'NumCheckins']",45.05676134,51.55713105
"['StarRating', 'ReviewLength', 'NumKeyWords', 'NumCheckins']",46.49210561,51.5179853
"['StarRating', 'ReviewLength', 'BusinessOpen', 'NumCheckins']",48.18407203,51.47449002
"['StarRating', 'ReviewLength', 'BusinessReviewCount', 'NumCheckins']",48.25366448,51.44186856
"['ReviewLength', 'NumKeyWords', 'BusinessReviewCount', 'NumCheckins']",45.60915141,51.44186856
"['ReviewLength', 'BusinessReviewCount', 'BusinessOpen', 'NumCheckins']",47.90352747,51.30485842
"['ReviewLength', 'NumKeyWords', 'BusinessReviewCount', 'BusinessOpen']",44.52829368,50.88730373
"['StarRating', 'NumKeyWords', 'BusinessReviewCount', 'NumCheckins']",48.56465573,50.2174764
"['StarRating', 'NumKeyWords', 'BusinessOpen', 'NumCheckins']",47.64908007,50.16745683
"['StarRating', 'NumKeyWords', 'BusinessReviewCount', 'BusinessOpen']",46.43773651,50.11743726
"['NumKeyWords', 'BusinessReviewCount', 'BusinessOpen', 'NumCheckins']",47.60123527,49.78687312
"['StarRating', 'BusinessReviewCount', 'BusinessOpen', 'NumCheckins']",48.65817059,49.01265713
"['StarRating', 'UserAvgVotePerReview', 'BusinessOpen', 'NumCheckins']",47.48379801,48.99960854
"['StarRating', 'UserAvgVotePerReview', 'BusinessReviewCount', 'NumCheckins']",47.37288504,48.78213214
"['UserAvgVotePerReview', 'BusinessReviewCount', 'BusinessOpen', 'NumCheckins']",47.09016572,47.52729329
